"team","estimate","std.error","rank","Team","season","week","rank_change"
"ARI",-2.40839317922711,2.66219868557715,23,"ARI 23",2010,3,NA
"ARI",-0.810295470916187,1.84845669117682,25,"ARI 25",2010,4,2
"ARI",-0.724848648071168,2.30836507048902,27,"ARI 27",2010,5,2
"ARI",-1.49168525294517,2.89819314691778,27,"ARI 27",2010,6,0
"ARI",-1.59252358558131,2.77631603555703,26,"ARI 26",2010,7,-1
"ARI",-2.27204328114277,2.81184965135735,28,"ARI 28",2010,8,2
"ARI",-3.91765604704625,3.15547698702154,28,"ARI 28",2010,9,0
"ARI",-4.78574136203451,2.89345271594206,31,"ARI 31",2010,10,3
"ARI",-6.55534778600682,2.97211514895897,31,"ARI 31",2010,11,0
"ARI",-7.41700290300082,2.8485228895505,31,"ARI 31",2010,12,0
"ARI",-7.90336341958652,2.7237405618793,31,"ARI 31",2010,13,0
"ARI",-6.75832799971055,2.64558973415512,31,"ARI 31",2010,14,0
"ARI",-7.62258060452444,2.54731768123934,31,"ARI 31",2010,15,0
"ARI",-7.16211640083772,2.4836133004251,31,"ARI 31",2010,16,0
"ARI",-7.9574900597391,2.44287102264011,31,"ARI 31",2010,17,0
"ATL",4.52232103242387,2.66219868557715,4,"ATL 4",2010,3,NA
"ATL",0.818688755705587,1.84845669117682,7,"ATL 7",2010,4,3
"ATL",0.664862714880284,2.30836507048902,7,"ATL 7",2010,5,0
"ATL",1.14251263905394,2.83497072299088,10,"ATL 10",2010,6,3
"ATL",1.10409094447706,2.71661614913766,10,"ATL 10",2010,7,0
"ATL",1.06376306146524,2.81184965135735,12,"ATL 12",2010,8,2
"ATL",2.5547042453785,3.15547698702154,8,"ATL 8",2010,9,-4
"ATL",2.38454296768992,2.89345271594206,7,"ATL 7",2010,10,-1
"ATL",3.78630937001326,2.97211514895897,6,"ATL 6",2010,11,-1
"ATL",4.03621427864237,2.8485228895505,5,"ATL 5",2010,12,-1
"ATL",4.19905469943665,2.7237405618793,5,"ATL 5",2010,13,0
"ATL",4.60701385502167,2.64558973415512,5,"ATL 5",2010,14,0
"ATL",5.07424325154621,2.54731768123934,4,"ATL 4",2010,15,-1
"ATL",5.32119165159337,2.4836133004251,4,"ATL 4",2010,16,0
"ATL",5.51981301801329,2.44287102264011,4,"ATL 4",2010,17,0
"BAL",3.22745515288735,2.66219868557715,5,"BAL 5",2010,3,NA
"BAL",1.13488540703913,1.84845669117682,3,"BAL 3",2010,4,-2
"BAL",1.07927793800399,2.30836507048902,4,"BAL 4",2010,5,1
"BAL",2.18374092447168,2.83497072299088,3,"BAL 3",2010,6,-1
"BAL",1.57534689145722,2.71661614913766,9,"BAL 9",2010,7,6
"BAL",1.30369801808399,2.81184965135735,11,"BAL 11",2010,8,2
"BAL",2.98354546136719,3.15547698702154,6,"BAL 6",2010,9,-5
"BAL",2.60918937442569,2.89345271594206,5,"BAL 5",2010,10,-1
"BAL",4.19222499236935,2.97211514895897,4,"BAL 4",2010,11,-1
"BAL",4.43174308140355,2.8485228895505,4,"BAL 4",2010,12,0
"BAL",4.44548358956759,2.7237405618793,4,"BAL 4",2010,13,0
"BAL",4.60051089372638,2.64558973415512,6,"BAL 6",2010,14,2
"BAL",4.97320871616102,2.54731768123934,5,"BAL 5",2010,15,-1
"BAL",5.39059715567771,2.4836133004251,3,"BAL 3",2010,16,-2
"BAL",5.32991620934656,2.44287102264011,5,"BAL 5",2010,17,2
"BUF",-1.39119599650077,2.66219868557715,22,"BUF 22",2010,3,NA
"BUF",-1.00909578863105,1.84845669117682,29,"BUF 29",2010,4,7
"BUF",-1.54547776735956,2.30836507048902,31,"BUF 31",2010,5,2
"BUF",-3.06113878098417,2.89819314691778,32,"BUF 32",2010,6,1
"BUF",-2.8645243957869,2.77631603555703,31,"BUF 31",2010,7,-1
"BUF",-2.6260136235712,2.81184965135735,29,"BUF 29",2010,8,-2
