"team","estimate","std.error","rank","Team","season","week","rank_change"
"ARI",0,0,32,"ARI 32",2016,5,28
"ARI",0,0,32,"ARI 32",2016,6,0
"ATL",0,0,31,"ATL 31",2016,5,12
"ATL",0,0,31,"ATL 31",2016,6,0
"BAL",0,0,30,"BAL 30",2016,5,17
"BAL",0,0,30,"BAL 30",2016,6,0
"BUF",0,0,29,"BUF 29",2016,5,12
"BUF",0,0,29,"BUF 29",2016,6,0
"CAR",0,0,28,"CAR 28",2016,5,25
"CAR",0,0,28,"CAR 28",2016,6,0
"CHI",0,0,27,"CHI 27",2016,5,-5
"CHI",0,0,27,"CHI 27",2016,6,0
"CIN",0,0,26,"CIN 26",2016,5,3
"CIN",0,0,26,"CIN 26",2016,6,0
"CLE",0,0,25,"CLE 25",2016,5,-1
"CLE",0,0,25,"CLE 25",2016,6,0
"DAL",0,0,24,"DAL 24",2016,5,4
"DAL",0,0,24,"DAL 24",2016,6,0
"DEN",0,0,23,"DEN 23",2016,5,17
"DEN",0,0,23,"DEN 23",2016,6,0
"DET",0,0,22,"DET 22",2016,5,6
"DET",0,0,22,"DET 22",2016,6,0
"GB",0,0,21,"GB 21",2016,5,14
"GB",0,0,21,"GB 21",2016,6,0
"HOU",0,0,20,"HOU 20",2016,5,2
"HOU",0,0,20,"HOU 20",2016,6,0
"IND",0,0,19,"IND 19",2016,5,-10
"IND",0,0,19,"IND 19",2016,6,0
"JAX",0,0,18,"JAX 18",2016,5,-13
"JAX",0,0,18,"JAX 18",2016,6,0
"KC",0,0,17,"KC 17",2016,5,7
"KC",0,0,17,"KC 17",2016,6,0
"LA",0,0,16,"LA 16",2016,5,-5
"LA",0,0,16,"LA 16",2016,6,0
"LAC",0,0,15,"LAC 15",2016,5,3
"LAC",0,0,15,"LAC 15",2016,6,0
"LV",0,0,14,"LV 14",2016,5,-10
"LV",0,0,14,"LV 14",2016,6,0
"MIA",0,0,13,"MIA 13",2016,5,-1
"MIA",0,0,13,"MIA 13",2016,6,0
"MIN",0,0,12,"MIN 12",2016,5,7
"MIN",0,0,12,"MIN 12",2016,6,0
"NE",0,0,11,"NE 11",2016,5,10
"NE",0,0,11,"NE 11",2016,6,0
"NO",0,0,10,"NO 10",2016,5,-18
"NO",0,0,10,"NO 10",2016,6,0
"NYG",0,0,9,"NYG 9",2016,5,-6
"NYG",0,0,9,"NYG 9",2016,6,0
